"news_native_id"	"news_collected_time"	"news_title"	"news_doc"
"31155"	"2015-03-06"	"It could be very long time before Hillary Clinton's State Department e-mails see ..."	"Hillary Clinton has said she wants the pubic to see 55,000 e-mails she turned over to the State Department that had been kept in her personal, unofficial email account. But nobody should hold their breath waiting to see them. That's because the State ..."
"31230"	"2015-03-06"	"Ousted ambassador sounds off on Hillary email flap"	"Most Read; Videos. GOP leaders to skip Selma event · I was Alabama's top judge. I'm ashamed by what I had to do to get there. Clinton private email violated 'clear-cut' State Dept. rules · 'Who knows? She could implode totally' · A letter from black America ..."
"31239"	"2015-03-06"	"Email Controversy Creates Two Lasting Issues for Hillary Clinton"	"No, the controversy over Hillary Clinton's use of personal emails during her time as secretary of state isn't going to hurt her with Democrats or spark a truly contested Democratic primary. (After all, Democrats' 2016 pickings beyond Clinton are quite slim.) And ..."
"31250"	"2015-03-06"	"Clinton's personal email use – despite clear rules – raises double-standard ..."	"Hillary Clinton's State Department for years was telling underlings to use personal email -- even ousting an ambassador, the ex-diplomat says, in part over his Gmail habits -- despite the secretary of state herself ignoring that advice. The disconnect is now ..."
"31264"	"2015-03-06"	"Hillary Clinton emails: What's a 'homebrew' email server?"	"WASHINGTON (AP) -- No, it's not always a room filled with wires and glowing blue lights. It's probably not even the size of your furnace. The personal email server used by Hillary Rodham Clinton during her time as secretary of state was probably about the ..."
"31274"	"2015-03-06"	"Clinton Email Flap Could Signal Political Trouble Ahead"	"Why did Hillary Clinton opt to use a private email account for official business during her tenure as secretary of state? And could this revelation really hurt her hopes of becoming the first woman president? Those are just two of the key questions at the heart of ..."
"31284"	"2015-03-06"	"Former ambassador under fire for private email use 'Very surprised' to learn that Clinton was doing same thing"	"Washington (CNN) The U.S. ambassador who resigned his post in 2012 amidst official criticism that he used a private email account for official business told CNN Friday that he was ""very surprised"" to learn that his boss at the time, then-Secretary of State ..."
"31292"	"2015-03-06"	"Hillary Clinton Emails: A Timeline of What Rules Were Allegedly Ignored"	"Hillary Clinton's use of a private email system rather than a government-run account while serving as Secretary of State has raised questions about what rules she may have broken, whether she knew she was in violation, and who else knew about her private ..."
"31301"	"2015-03-06"	"'How secure could it have been?' IT crowd questions if Hillary email could have ..."	"Then-Secretary of State Hillary Clinton, by using her own email address and server for official business, was not only skirting government guidelines but taking serious cybersecurity risks as well, IT professionals tell FoxNews.com. While secretary, as the ..."
"31314"	"2015-03-06"	"State Department Warned Against Private E-Mail Such as Clinton's"	"(Bloomberg) -- The Obama administration distanced itself Friday from Hillary Clinton's use of a private e-mail address, as new evidence emerged that the State Department had advised employees against the practice during her time as secretary."
"31321"	"2015-03-06"	"Clinton's emails: Secrets, security and the law"	"WASHINGTON — Once again, Hillary Rodham Clinton did it her way, and it could cost her. Clinton's decision to eschew government email and use her own private server as secretary of state is raising questions about secrecy, security and the law ..."
"31350"	"2015-03-06"	"White House scrambles to answer when they learned of Clinton email habits"	"That timeline got murkier on Friday as the White House struggled to respond to mounting questions over Hillary Clinton's private email use. The heat was turned up after Politico reported that top White House officials knew back in August that Clinton was ..."
"31358"	"2015-03-06"	"Clinton's emails: Secrets, security and the law"	"Once again, Hillary Rodham Clinton did it her way, and it could cost her. Clinton's decision to eschew government email and use her own private server as secretary of state is raising questions about secrecy, security and the law — including whether she ..."
"31365"	"2015-03-06"	"Bush finds Hillary Clinton's e-mail practice 'baffling'"	"Presumptive GOP presidential candidate Jeb Bush said Friday that he found it “baffling” that Hillary Rodham Clinton used a private e-mail server while secretary of state, a practice that has prompted sharp criticism of Clinton in recent days. Bush — who could ..."
"31395"	"2015-03-06"	"White House defers questions on Hillary Clinton's private email use"	"The White House gently distanced itself Friday from the controversy swirling around former Secretary of State Hillary Rodham Clinton and State Department officials over Clinton's use of a personal email account during her four years in office. Amid growing ..."
"31431"	"2015-03-07"	"White House scrambles to answer when they learned of Clinton email habits"	"That timeline got murkier on Friday as the White House struggled to respond to mounting questions over Hillary Clinton's private email use. The heat was turned up after Politico reported that top White House officials knew back in August that Clinton was ..."
"31447"	"2015-03-07"	"Emails show Clinton aides running interference during Benghazi attack"	"Emails obtained through a federal lawsuit show that two top aides to then-Secretary of State Hillary Clinton were running interference internally during the 2012 Benghazi terror attack. The aides were Philippe Reines, widely described as Clinton's principal ..."
"31465"	"2015-03-07"	"What we know about Hillary Clinton's private email account"	"WASHINGTON — Once again, Hillary Rodham Clinton did it her way, and it could cost her. Clinton's decision to eschew government email and use her own private server as secretary of state is raising questions about secrecy, security and the law ..."
"31493"	"2015-03-07"	"What we know about Hillary Clinton's private email account"	"Once again, Hillary Rodham Clinton did it her way, and it could cost her. Clinton's decision to eschew government email and use her own private server as secretary of state is raising questions about secrecy, security and the law – including whether she might ..."
"31495"	"2015-03-07"	"Hillary?s Secret Email Was a Cyberspy?s Dream Weapon"	"When a notorious online break-in artist got a hold of the Secretary of State's now-infamous email address, he gave himself the power to use it to target the global elite. The private email address for Hillary Clinton, which became the talk of Washington this ..."
"31511"	"2015-03-07"	"Are Clinton's e-mails scandal or mere controversy? New evidence."	"Hillary Clinton isn't the only politician to have used a private e-mail account to conduct government business. But as the front-runner for the White House, she's getting the most scrutiny as troubling evidence keeps mounting."
"31528"	"2015-03-07"	"Are Hillary Clinton's e-mails scandal or mere controversy? New evidence."	"Hillary Clinton isn't the only politician to have used a private e-mail account to conduct government business. But as the front-runner for the White House, she's getting the most scrutiny as troubling evidence keeps mounting."
"31546"	"2015-03-07"	"Beyond Clinton, many 2016 hopefuls have used private email"	"Former Florida Gov. Jeb Bush smiles as he speaks during a reception for U.S. Rep. David Young, R-Iowa, Friday, March 6, 2015, in Urbandale, Iowa. (AP Photo/Charlie Neibergall) more &gt;. By BILL BARROW - Associated Press - Saturday, March 7, 2015."
"31555"	"2015-03-07"	"Beyond Clinton, many 2016 hopefuls have used private email"	"Former Florida Gov. Jeb Bush smiles as he speaks during a reception for U.S. Rep. David Young, R-Iowa, Friday, March 6, 2015, in Urbandale, Iowa. (AP Photo/Charlie Neibergall). Private email use a source of friction in many statehouses. J. Scott Applewhite ..."
"31565"	"2015-03-07"	"Clinton's Private Email Account at Odds With State Department Policy"	"Hillary Clinton 's use of a private email account for official government business when she was Secretary of State appears to run contrary to established internal State Department policies and procedures, according to agency documents. Department ..."
"31631"	"2015-03-07"	"Best of the worst of exposed e-mails: Clinton, Ferguson and more"	"Be careful with your e-mail. You'd think that simple idea would be common sense by now. But unfortunately, e-mails have brought down or troubled many people including police officers, government officials and even a possible presidential candidate ..."
"31636"	"2015-03-07"	"Obama Says Hillary's Private Email Account Was News To Him"	"WASHINGTON (AP) — President Barack Obama says it was through news reports that he first learned that Hillary Rodham Clinton used a private, nongovernment email account while serving as his secretary of state. In an interview Saturday with CBS News, ..."
"31656"	"2015-03-07"	"Are Hillary Clinton's e-mails scandal or mere controversy? New evidence. (+video)"	"Hillary Clinton isn't the only politician to have used a private e-mail account to conduct government business. But as the front-runner for the White House, she's getting the most scrutiny as troubling evidence keeps mounting."
"31676"	"2015-03-07"	"Hillary Clinton's email scandal sure fits the 'Bill'"	"Hillary Clinton's latest scandal involves her refusal to use government email address as secretary of state. What better way to celebrate International Women's Day today than to celebrate the news that Hillary Clinton, more long-suffering wife than pioneering ..."
"31702"	"2015-03-08"	"Obama says he was not aware Clinton used private email"	"The State Department has had a policy in place since 2005 to warn officials against routine use of personal e-mail accounts for government work, a regulation in force during Hillary Clinton?s tenure as secretary of state that appears to be at odds with her ..."
"31716"	"2015-03-08"	"Hillary Clinton's email scandal certainly fits the 'Bill'"	"What much better way to celebrate International Women's Day nowadays than to celebrate the news that Hillary Clinton, far more lengthy-suffering wife than pioneering suffragette, is planning to announce her presidential rerun earlier than anticipated? And.."
"31729"	"2015-03-08"	"Obama praises Clinton for asking State Department to disclose emails"	"President Obama says he found out that Hillary Clinton used a private, nongovernment email account during her tenure as secretary of state through media reports. Obama said in an interview with CBS News Saturday that he was glad Clinton decided to ..."
"31749"	"2015-03-08"	"Obama Says He's 'Glad' Hillary Clinton Asked for Release of Emails"	"President Barack Obama said Saturday that he found out about Hillary Clinton's use of a private, nongovernmental email account during her time as secretary of state at ""the same time everybody else learned it, through news reports."" In an interview with CBS ..."
"31769"	"2015-03-08"	"Obama says he learned of Clinton using private email through news reports"	"President Obama says he first learned from news reports that his former secretary of state, Hillary Clinton, used a private email account during her tenure, amid reports the White House and State Department may have known as far back as last August that ..."
"31785"	"2015-03-08"	"Top Clinton White House lawyer defends Hillary emails, but says probe OK"	"FILE: Aug. 12, 2013: Former Secretary of State Hillary Clinton speaks at the American Bar Association's annual meeting, in San Francisco, Calif. (AP). Lanny Davis, a top lawyer for the Clinton White House, on Sunday defended Hillary Clinton's use of personal ..."
"31790"	"2015-03-08"	"How Obama learned about Hillary Rodham Clinton's peculiar e-mail"	"President Obama says he insists on transparency in his administration's conduct. That raises questions about Hillary Clinton's controversial e-mail as secretary of state, and it may account for a drop in her poll rating on honesty."
"31805"	"2015-03-08"	"Clinton possibly broke laws with personal email account: pol"	"Hillary Clinton has come under fire for her use of a personal email account for official business during her tenure as Secretary of State. Hillary Clinton continued to face questions from both sides of the aisle Sunday over her exclusive use of personal email for ..."
"31812"	"2015-03-08"	"Will Private Emails Hurt Hillary's Chances in 2016? Video"	"Oh, a week of stories over Hillary Clinton's e-mails capped by that skit on ""Saturday night live."" Now it's become a pretty familiar pattern but will this story evaporate like so many in the past or does it spell real trouble for the upcoming campaign? Jon Karl ..."
"31820"	"2015-03-08"	"6 questions for Clinton on e-mail controversy"	"Hillary Clinton's decision to use a private e-mail address exclusively — and set up her own server at her house to do so — during her time as the nation's leading diplomat has dominated news coverage for a week. Yet for all the great reporting that has been ..."
"31830"	"2015-03-08"	"Feinstein: Hillary Clinton should speak out about e-mails"	"Sen. Dianne Feinstein is the top Democrat on the Senate Intelligence Committee. (J. Scott Applewhite, AP). Sen. Dianne Feinstein called on Hillary Rodham Clinton to provide more details about her use of a private e-mail account to conduct government ..."
"31851"	"2015-03-08"	"5 questions: The Clinton email"	"Most Read; Videos. Hillary in Nixon's shadow · Netanyahu's Churchill complex · The Iowa Ag Summit: 10 takeaways · Powell says he doesn't have any of his State emails · McCarthy reverses on GOP leadership decision to skip Selma events. Hot On Social ..."
"31860"	"2015-03-08"	"Hillary Clinton emails: Some in GOP resist overreach"	"Washington (CNN) Congressional Republicans are once again targeting Hillary Clinton -- but this time, some in the party are being careful not to overreact. If there's potency to Clinton's close guard of her emails, using a personal address on a private server to ..."
"31884"	"2015-03-08"	"Feinstein wants Clinton to provide details on personal e-mail use"	"WASHINGTON — Sen. Dianne Feinstein, D-Calif., called Sunday on Hillary Clinton to “step up and come out” to explain in more detail why she used a personal e-mail account to conduct government business during her time as secretary of state."
"31921"	"2015-03-08"	"Obama: 'I didn't know Hillary Clinton's email address'"	"President Barack Obama last night prompted renewed Republican calls for an investigation into Hillary Clinton's time as secretary of state after saying he was unaware she had declined to use an official email account during her four years in office."
"31925"	"2015-03-08"	"As Hillary Clinton Stays Quiet About Private Emails, Republicans Seize Moment to Criticize Her"	"One of the best-known photographs of Hillary Rodham Clinton taken in the past several years is that of her in 2011 jetting from Malta to Tripoli aboard an Air Force C-17, wearing dark sunglasses and typing on a BlackBerry. But according to Representative ..."
"32003"	"2015-03-09"	"Who should be in charge of handing over Hillary Clinton's emails?"	"Former Secretary of State Hillary Clinton is urging the State Department to release the emails she wrote from a private account during her tenure at the head of the State Department. The special committee House Republicans created last year to investigate ..."
"32061"	"2015-03-09"	"Top Senate Democrat urges Clinton to address private email controversy"	"FILE: Feb. 11, 2015: Calif. Sen. Dianne Feinstein, a Democrat on the Senate Intelligence Committee, on Capitol Hill, in Washington, D.C. (AP). The top Democrat on the Senate Intelligence Committee urged former Secretary of State Hillary Clinton to give a full ..."
"32065"	"2015-03-09"	"Scott Walker blasts Hillary Clintons use of personal email"	"Most Read; Videos. A Message to my Fellow Republicans · Becoming Jihadi John · The danger of a failed Iran deal · 5 questions: The Clinton email · Netanyahu's Churchill complex · Graham: I've never sent an email · Hillary in Nixon's shadow · Immigration ..."
