	news_collected_time	news_title
59	2014-11-18	Deaths caused by terrorism rises by 61 percent, report shows
60	2014-11-18	Truck bomb hits foreign base in Afghan capital, kills two
61	2014-11-18	Toyota bets on hydrogen fuel cell technology
62	2014-11-18	Followers of wanted Indian guru hold out against police
63	2014-11-18	Uber exec proposed publishing journalists' personal secrets to fight bad press
64	2014-11-18	Prime Minister Narendra Modi in Australia Parliament.
65	2014-11-18	Can a Keystone pipeline vote help Mary Landrieu?
66	2014-11-18	Small plane crashes into home near Chicago's Midway airport (PHOTOS)
67	2014-11-18	Whoopi Goldberg defends Bill Cosby over rape allegations: 'I have a lot of ...
68	2014-11-18	Haryana police storm godman Rampal's ashram, main gate damaged: Report
69	2014-11-18	Child Homelessness Reaches Record High
70	2014-11-18	Attackers storm Jerusalem synagogue, killing 4 worshippers
71	2014-11-18	Deaths Linked to Terrorism Are Up 60 Percent, Study Finds
72	2014-11-18	Russia sees no chance of breakthrough on Ukraine in German minister's visit
73	2014-11-18	Small Plane Crashes Into Home Near Chicago's Midway Airport
74	2014-11-18	Suicide bombers attack foreigner compound in Afghan capital, killing 2
75	2014-11-18	Why liberals are turning on Bill Cosby over rape allegations
76	2014-11-18	Japan's Abe Calls Early Election to Save His Grand Economic Plan
77	2014-11-18	At Least 6 Killed at Jerusalem Synagogue
78	2014-11-18	National Guard Prepares for More Ferguson Unrest
79	2014-11-18	Global terrorism on rise: Fivefold increase in terror-related deaths since 2000 — RT News
80	2014-11-18	Small Plane Crashes Into Chicago Home
81	2014-11-18	Home Depot profit beats estimates as US job market improves
82	2014-11-18	Indian PM jokingly accuses Tony Abbott of 'shirt-fronting' Australia
83	2014-11-18	As Missouri awaits decision on police shooting, National Guard called in
84	2014-11-18	'Terror' Deaths Up by 37%: Study
85	2014-11-18	Uber rides into new PR storm over digging dirt on hostile press
86	2014-11-18	State Board Mulls New History Textbooks « CBS Dallas / Fort Worth
87	2014-11-18	Cupich set to become 9th archbishop of Chicago
88	2014-11-18	FBI warns Ferguson grand jury decision 'will likely' lead to violence
89	2014-11-18	Charles Manson gets marriage license
90	2014-11-18	Small plane crashes into Chicago home, police say
91	2014-11-18	Supporters Of Keystone Oil Pipeline Scramble For Last Vote - NewsOn6.com - Tulsa, OK - News, Weather, Video and Sports - KOTV.com
92	2014-11-18	Lake-Effect Snow Pummels New York, Closes Thruway
93	2014-11-18	Uber Exec Suggests Spending $1 Million To 'Dig Up Dirt' On Journalists: BuzzFeed
94	2014-11-18	Japan leads world markets higher on stimulus hopes
95	2014-11-18	Mary Landrieu scrambles for 60th vote for Keystone
96	2014-11-18	Plane crashes into Chicago home, but elderly couple survives
97	2014-11-18	Bernie Sanders Has Found His Grassroots Support Base: The Fake News Audience
98	2014-11-18	House Democrats lash out at Nancy Pelosi
99	2014-11-18	Lives lost to terrorism up by 61%, with 18000 dead
100	2014-11-18	What explains the continuing fascination with Charles Manson?
101	2014-11-18	NFL suspends Vikings RB Adrian Peterson without pay for remainder of the ...
102	2014-11-18	Obama orders review of hostage policy - World News
103	2014-11-18	NM Rep. Ben Ray Luján tapped to head Democratic campaign committee
104	2014-11-18	US Producer Prices Rise 0.2 Percent in October
105	2014-11-18	Upholding the Sanctity of Marriage for Charles Manson
106	2014-11-18	NFL suspends Adrian Peterson without pay for at least rest of regular season
107	2014-11-18	Small Cargo Plane Crashes Into Chicago Home
108	2014-11-18	Lake-effect snow snarls Buffalo flights in wake of storm
109	2014-11-18	Uber Just Stuck a Knife in the Republican Party's Heart
110	2014-11-18	Jose Canseco says he's selling detached finger and digit-blasting gun
111	2014-11-18	Jennifer Lawrence and the stars of 'The Hunger Games: Mockingjay Part 1' stun ...
112	2014-11-18	Disappointment Becomes Global-Growth Norm as Japan Contracts
113	2014-11-18	America's Disastrous History of Pipeline Accidents Shows Why the Keystone Vote Matters
114	2014-11-18	AP Exclusive: Charles Manson Plans Prison Wedding
115	2014-11-18	Missouri Gov. Jay Nixon issues state of emergency ahead of Ferguson grand jury decision
116	2014-11-18	Peterson Suspended Without Pay for Rest of Season by NFL
117	2014-11-18	And the 2014 Word of the Year Is…
118	2014-11-18	Everything you need to know about the Bill Cosby sexual assault allegations
119	2014-11-18	Former Slugger Jose Canseco Plans To Put His Finger On EBay
120	2014-11-18	House Democrats re-elect Pelosi as minority leader
121	2014-11-18	Keystone Supporters Hustle to Get 60 Yeses for Senate Vote on Tuesday
122	2014-11-18	14 Questions And Answers About The Ferguson Grand Jury
123	2014-11-18	Chicago plane crashes into home near Midway; 1 dead
124	2014-11-18	Oxford names 'vape' 2014 Word of the Year
125	2014-11-18	Uber Responds to BuzzFeed Report on Journalism Smear Campaign
126	2014-11-18	Obama Orders Review Of U.S. Hostage Policy
127	2014-11-18	Jerusalem Attack: A Look at the Victims
128	2014-11-18	AP Exclusive: Charles Manson gets marriage license
129	2014-11-18	Tie Keystone approval to bigger environmental goals
130	2014-11-18	Myers: With Adrian Peterson ban, NFL commish gets it right
131	2014-11-18	Jonathan Gruber's Obamacare comments, Ferguson grand jury, and more
132	2014-11-18	Uber's Plan to Win Over the Press Backfires
133	2014-11-18	President Orders Review of US Hostage Policies
134	2014-11-18	Israel's 'Lone Wolf' Attacks Show Weapons Threat Hard to Track
135	2014-11-18	GOP Vows to Pass Keystone Later If Bill Fails Now
136	2014-11-18	National Guard prepares for more Ferguson unrest
137	2014-11-18	Uber Exec in Hot Water After Suggesting Smear Campaign on Journalists
138	2014-11-18	Where does Adrian Peterson's NFL career go from here?
139	2014-11-18	Plane misses elderly couple by '8 inches' after crashing into home near Midway
140	2014-11-18	Obama orders review of US policy on hostages
141	2014-11-18	Oxford Dictionaries' 2014 Word of the Year is 'vape'
142	2014-11-18	The new PEANUTS trailer is here And it's everything we ever wanted!!!
143	2014-11-18	Israel's 'Lone Wolf' Attacks Show Weapons Threat Hard to Track
144	2014-11-18	Louisiana's Landrieu Silent at Almost 70% of Energy Hearings
145	2014-11-18	Obama order could protect thousands of illegal immigrants in Md. Va., report says
146	2014-11-18	Browns waive running back Ben Tate
147	2014-11-18	Bob Marley Named As Face of Global Marijuana Brand
148	2014-11-18	Keystone backers scramble for last vote on bill, Boehner warns Obama against veto
149	2014-11-18	NFL suspends Adrian Peterson for remainder of 2014 season
150	2014-11-18	House Democrats Re-elect Pelosi as Minority Leader
151	2014-11-18	Oxford chooses 'vape' as its 2014 Word of the Year
152	2014-11-18	Obama Orders Review of Hostage Policy
153	2014-11-18	Four rabbis killed in Jerusalem synagogue terror attack
154	2014-11-18	Keystone XL chances dim in Senate as King says 'no'
155	2014-11-18	What Charles Manson's Future Mother-in-Law Thinks About Wedding
156	2014-11-18	Report: Alleged Officer Warns Ferguson 'If You Do Not Have a Gun, Get One'
157	2014-11-18	"Tech world calls out Uber for ""thuggish"" behavior"
158	2014-11-18	Liberals oppose Himes in House Democratic race
159	2014-11-18	President Obama Orders Full Review of Hostage Negotiation Policy
160	2014-11-18	Charles Manson Set to Tie the Knot With 26-Year-Old Woman
161	2014-11-18	Ferguson Activists Prepare Havens for Post-Decision Protests
162	2014-11-18	Toyota aims to replicate Prius success with fuel cell Mirai
163	2014-11-18	Official Bob Marley Marijuana Is Coming
164	2014-11-18	Three Americans Among Four Rabbis 'Slaughtered' in Jerusalem Synagogue
165	2014-11-18	Senator Landrieu's Hail Mary goes beyond Keystone XL pipeline
166	2014-11-18	Charles Manson fan insists she will marry the 80-year-old murderer
167	2014-11-18	Uber Draws Fire After Executive Suggests Investigating Reporters
168	2014-11-18	"Earnest: ""Old"" Gruber Videos ""Are Not Views That Are Shared By Anybody At The White House"""
169	2014-11-18	Crime and Inept Punishment: Sheriff Roger Goodell Is Barney Fife Once More
170	2014-11-18	Vape is Oxford Dictionaries' Word Of The Year
171	2014-11-18	Putin says US wants to subdue Russia
172	2014-11-18	Top Republican floats new attack plan for Obama's immigration action
173	2014-11-18	Dear relatives not in SoCal: We really don't miss your crazy snowstorms
174	2014-11-18	Cost to Treat Ebola: $1 Million For Two Patients
175	2014-11-18	Fla sees big rise of residents in US illegally
176	2014-11-18	Uber can't sweep exec's revenge campaign under the car mat
177	2014-11-18	The NFL Suspends Adrian Peterson, and the Sponsors Stay Quiet
178	2014-11-18	Lake-effect snow pummels New York, closes Thruway
179	2014-11-18	East Coast popular for immigrants in US illegally
180	2014-11-18	'Vape' is English Word of the Year for 2014, Oxford Says
181	2014-11-18	National Guard coming to help dig out from colossal effect storm
182	2014-11-18	Pilot dies after small plane crashes into Chicago home
183	2014-11-18	"Who is Hannibal Buress, and why did he call Bill Cosby a ""rapist""?"
184	2014-11-18	Obama will not change policy against paying ransom for hostages
185	2014-11-18	Winter Whack: Nation Faces Arctic Chill; Almost 6 Feet of Snow Forecast Near Buffalo
186	2014-11-18	Ferguson dilemma: Was calling up National Guard the right move?
187	2014-11-18	Democrats Re-Elect Nancy Pelosi As House Minority Leader Amid Criticism Over 2014 Midterm Elections
188	2014-11-18	Can Uber afford to have this many enemies?
189	2014-11-18	Synagogue attack: Netanyahu vow in 'battle for Jerusalem'
190	2014-11-18	Vape is word of the year for 2014
191	2014-11-18	Louisiana Senate Seat Is Real Reward in Keystone Pipeline Vote
192	2014-11-18	What May Happen to Officer Darren Wilson After Ferguson Grand Jury Decision
193	2014-11-18	Bill Cosby hunkers down as scandal rages
194	2014-11-18	Chicago plane crashes into home near Midway, pilot killed
195	2014-11-18	NY agency aids more than 100 snow-stranded drivers
196	2014-11-18	UPDATE 1-Seventh Sierra Leone doctor killed by Ebola -source
197	2014-11-18	For Obama, Executive Action Will Not Be Limited to Immigration
198	2014-11-18	Vape named as Oxford English Dictionary's 2014 word of the year
199	2014-11-18	Gruber frequently visited White House
200	2014-11-18	Here's Everything We Know (and Don't Know) About the Bill Cosby Rape ...
201	2014-11-18	Obama orders review of US hostage policy
202	2014-11-18	Uber CEO Apologies For Exec's 'Terrible' Suggestion That The Company ...
203	2014-11-18	With beheading deaths of Americans, Obama orders review of US response to hostage takings
204	2014-11-18	Bill Cosby Rape Accuser Joan Tarshis Reveals Details Of Horrifying Attack
205	2014-11-18	House Democratic Leaders Hold Caucus Meeting To Elect Leaders For 114th Congress
206	2014-11-18	U-Va. student Hannah Graham's death the result of 'homicidal violence,' officials ...
207	2014-11-18	Adrian Peterson will not return this weekend against Green Bay [updated]
208	2014-11-18	Palestinians kill five in Jerusalem synagogue attack
209	2014-11-18	Keystone's Big Senate Test: A Search For One Vote
210	2014-11-18	Missouri Gov. swears in Ferguson panel ahead of grand jury decision in shooting
211	2014-11-18	LISTEN: Bill Cosby's 1969 riff on drugging women's drinks
212	2014-11-18	Obama orders review of US hostage policy
213	2014-11-18	Uber's vast trove of customer data is ripe for abuse
214	2014-11-18	Senate Narrowly Defeats Keystone XL Bill
215	2014-11-18	Oxford Dictionaries' word of 2014: Have you ever heard of it? - One News
216	2014-11-18	What will Bill Cosby's legacy be?
217	2014-11-18	Obama: 'Nowhere Near Out of the Woods' on Ebola
218	2014-11-18	The Short List: Uber wants to silence journalists; Keystone bill fails; Peterson ...
219	2014-11-18	Keystone Vote Falls Short in Senate
220	2014-11-18	Jerusalem synagogue attack: 'Lone wolf' pattern seen in deadly assault
221	2014-11-18	Western New York Snow Storm Could Set Records
222	2014-11-18	Justice Department Probe Of Ferguson Police Could Spur Broad Change
223	2014-11-18	Janice Dickinson accuses Bill Cosby of sexual assault during 1982 hotel meetup
224	2014-11-18	"West Africa ""nowhere near out of woods"" on Ebola: Obama - Xinhua"
225	2014-11-18	Obama orders review of US hostage policy
226	2014-11-18	"Tracy Morgan Still Struggling but ""Fighting to Get Better"" After Brain Injury ..."
227	2014-11-18	Will Kim Jong-un face mass crimes prosecution at The Hague? (+video)
228	2014-11-18	Keystone Pipeline Fails to Get Through Senate
229	2014-11-18	Tech lobby to keep tabs on NSA reform votes
230	2014-11-18	Lawyer: Tracy Morgan Still Struggling With Severe Brain Injury
231	2014-11-18	UPDATE 1-Seventh Sierra Leone doctor killed by Ebola -source
232	2014-11-18	Quinn: Uber grapples with its aggressive image
233	2014-11-18	Senate Narrowly Defeats Keystone XL Pipeline
234	2014-11-18	Senate Republicans Block Sweeping Overhaul of NSA Program
235	2014-11-18	Obama orders review of hostage policy
236	2014-11-18	Ebola Researchers Race to Slow Epidemic
237	2014-11-18	Sarah Lacy on Uber: I'm doing everything I can to keep my family safe
238	2014-11-18	Police nab man sought after fatal NYC subway shove
239	2014-11-18	UN panel calls for N.Korea referral to international court
240	2014-11-18	Senate defeats Keystone XL pipeline
241	2014-11-18	Middle East|Jewish Victims, All From One Jerusalem Street, Were a ...
242	2014-11-18	Obama orders review of the policy on terrorist-related hostage cases
243	2014-11-18	150 cars snowbound in early winter storm
244	2014-11-18	Uber's plot to spy on reporter is latest controversy
245	2014-11-18	UN Rights Committee Urges Court Referral for North Korea
246	2014-11-18	Death of Virginia college student ruled a homicide
247	2014-11-18	After Jerusalem attack, Netanyahu hopes 'PR porn' will win support abroad - Diplomacy and Defense Israel News
248	2014-11-18	In all 50 states, it's below freezing in at least one spot
249	2014-11-18	Uber CEO Apologizes For Exec's 'Terrible' Suggestion That The Company Investigate Journalists
250	2014-11-18	Ebola crisis: Seventh Sierra Leone doctor dies from virus
251	2014-11-18	U.S. reviewing how it deals with families of American hostages
252	2014-11-18	United Nations Urges North Korea Prosecutions
253	2014-11-18	Stupidity reconsidered
254	2014-11-18	Ryan to chair tax panel, a possible 2016 platform
255	2014-11-18	Senate fails to advance legislation on NSA reform
256	2014-11-18	Uber executive stirs up privacy controversy
257	2014-11-18	Janice Dickinson Says She Was Sexually Assaulted By Bill Cosby
258	2014-11-18	UVA student Hannah Graham died from 'homicidal violence': medical examiner
259	2014-11-18	Police nab man sought after fatal NYC subway shove
260	2014-11-18	Ryan to Chair Tax Panel, a Possible 2016 Platform
261	2014-11-18	In latest College Football Playoff rankings, Alabama rolls straight to the No. 1 spot
262	2014-11-18	Senate Fails to Advance NSA Data Collection Overhaul Legislation
263	2014-11-18	Storm blamed for at least 4 deaths in upstate New York
264	2014-11-18	Report: Janice Dickinson accuses Bill Cosby of rape
265	2014-11-18	Tracy Morgan Still Battling With Brain Injury
266	2014-11-18	UN calls for probe of North Korea 'crimes against humanity'
267	2014-11-18	Police question man in subway shoving death
268	2014-11-18	Keystone Vote Unlikely to Change Odds for Mary Landrieu
269	2014-11-18	Senate Republicans block bill: NSA will continue monitoring your calls
270	2014-11-18	TV host Janice Dickinson latest Cosby accuser
271	2014-11-18	Lawyer: Comedian Tracy Morgan Suffered Traumatic Brain Injury In NJ Tpke Crash
272	2014-11-18	Video seems to show Ferguson officer in confrontation
273	2014-11-18	North Korea: UN moves closer to ICC human rights probe
274	2014-11-18	Defective Takata Airbag Grows Into Global Problem for Manufacturer
275	2014-11-18	Report: Va. student's death was homicide
276	2014-11-18	Winter Whack: Nation Faces Arctic Chill; 6 Feet of Snow Hit Buffalo Area
277	2014-11-18	Fail Mary: Senate rejects Keystone bill
278	2014-11-18	Palestinians kill five in Jerusalem synagogue attack
279	2014-11-18	Attorney says actor Tracy Morgan struggling after crash: report
280	2014-11-18	Court clears way for gay marriage in South Carolina
281	2014-11-18	Subway Motorman Describes Deadly Train Push
282	2014-11-18	Federal highway safety agency demands recall of cars with Takata air bags
283	2014-11-18	North Korea reacts angrily after UN votes to probe 'crimes against humanity'
284	2014-11-18	Early winter pummels much of country, strands motorists, emergency vehicles
285	2014-11-18	Palestinians kill five in Jerusalem synagogue attack
286	2014-11-18	Attorney says actor Tracy Morgan struggling after crash -report
287	2014-11-18	UPDATE 3-US auto regulator seeks nationwide recall of Takata air bags
288	2014-11-18	Death of Virginia college student ruled a homicide
289	2014-11-18	Adrian Peterson May Be Suspended, But He's Unlikely To Lose Any Pay
290	2014-11-19	Early winter pummels much of country, strands motorists, emergency vehicles
291	2014-11-19	At the site of Jerusalem terror attack, no calls for revenge, just grief
292	2014-11-19	Tracy Morgan Sustained 'A Traumatic Brain Injury' In Crash, His Lawyer Said
293	2014-11-19	UN push against North Korea on rights moves ahead
294	2014-11-19	Police Arrest Man in Fatal NYC Subway Shove
295	2014-11-19	Regulators Call for Takata Airbag Recall to Be Extended Nationwide
296	2014-11-19	Chris Hemsworth Named People's Sexiest Man Alive 2014
297	2014-11-19	Could Obama cut deal on Keystone pipeline? Don't rule it out
298	2014-11-19	Jungle Janice: I was a Cosby victim
299	2014-11-19	UN calls for North Korea's referral to international court
300	2014-11-19	Netflix postpones Bill Cosby's stand-up comedy special
301	2014-11-19	PEOPLE names Chris Hemsworth 'Sexiest Man Alive'
302	2014-11-19	AP source: Billy Butler and A's reach 3-year deal - WLTZ 38
303	2014-11-19	Janice Dickinson accuses Bill Cosby of drugging and sexually assaulting her
304	2014-11-19	Chris Hemsworth a Marvel as People's 'Sexiest Man Alive' (VIDEO)
305	2014-11-19	UN Advocates Prosecuting North Korea for Gross Rights Abuses
306	2014-11-19	Netflix postpones premiere of Bill Cosby comedy special amid sex assault allegations
307	2014-11-19	US auto regulator seeks nationwide recall of Takata air bags
308	2014-11-19	Bryant, Lakers earn second win
309	2014-11-19	Jerusalem terror attack 'strikes at soul' of Jews worldwide
310	2014-11-19	Missouri executes Leon Taylor for 1994 killing
311	2014-11-19	Police arrest man in fatal NYC subway shove
312	2014-11-19	Gun sales surge ahead of grand jury's Ferguson decision
313	2014-11-19	Behind the silent reaction of the Palestinian street - Diplomacy and Defense Israel News
314	2014-11-19	CNN's Don Lemon tells Bill Cosby rape accuser she should have bitten ...
315	2014-11-19	Missouri Executes Leon Taylor For 1994 Slaying Of Gas Station Attendant
316	2014-11-19	States with the most undocumented immigrants
317	2014-11-19	Chris Hemsworth named People's 'Sexiest Man Alive'; world reacts on social media
318	2014-11-19	Lawyer says Tracy Morgan suffered severe brain injury in crash
319	2014-11-19	Study will test survivors' blood to treat Ebola
320	2014-11-19	Snowstorm, frigid temperatures whack over half of the US, more coming
321	2014-11-19	Despite the terror, we immigrants to Israel would never go back - Rabbis' Round Table Israel News
322	2014-11-19	Libertarian Champion Rand Paul Helped Kill NSA Reform Bill
323	2014-11-19	"This hunk is ""Sexiest Man Alive"" for 2014"
324	2014-11-19	Ruth Marcus: A slippery slope on immigration
325	2014-11-19	Netflix postpones Bill Cosby comedy special over sexual assault allegations
326	2014-11-19	North Korea human rights practices challenged in UN
327	2014-11-19	Jodhpur youth accuses Rampal of giving human sacrifice
328	2014-11-19	NFL suspends Peterson for at least rest of season
329	2014-11-19	Missouri executes Leon Taylor for 1994 killing
330	2014-11-19	Jerusalem ramps up security after deadly synagogue attack
331	2014-11-19	Netflix Postpones a Bill Cosby Comedy Special as Fallout Mounts
332	2014-11-19	Some in House reject GOP warning against shutdown
333	2014-11-19	North Korea: UN moves closer to ICC human rights probe
334	2014-11-19	Second Frenchman likely on Islamic State beheading video: government spokesman
335	2014-11-19	Man Charged in Subway Death Allegedly Pushed Another Rider
336	2014-11-19	India police say 4 bodies of women found in ashram
337	2014-11-19	Obama Condemns 'Horrific Attack' on Jerusalem Synagogue
338	2014-11-19	CNN's Don Lemon crosses line with Bill Cosby rape accuser
339	2014-11-19	Missouri executes Leon Taylor for 1994 murder
340	2014-11-19	UN Committee Urges Court Action Against N. Korea
341	2014-11-19	States with the most undocumented immigrants
342	2014-11-19	Six dead at Rampal's Hisar ashram, godman charged with sedition: Haryana DGP
343	2014-11-19	Police arrest man in fatal NYC subway shove
344	2014-11-19	How Jerusalem's synagogue attacks introduced a chilling new enemy: lone-wolf ...
345	2014-11-19	Missouri executes inmate for 1994 murder during robbery
346	2014-11-19	Bill Cosby comedy special postponed by Netflix
347	2014-11-19	Second Frenchman likely on IS beheading video – government spokesman
348	2014-11-19	UN panel calls for North Korea referral to international court
349	2014-11-19	Some in House Reject GOP Warning Against Shutdown
350	2014-11-19	Six dead in Hisar: Is Sant Rampal any better than a hostage-taking terrorist?
351	2014-11-19	How Jerusalem's synagogue attacks introduced a dangerous new enemy: lone ...
352	2014-11-19	Chris Hemsworth named world's sexiest man by People magazine
353	2014-11-19	Missouri executes Leon Taylor for killing a suburban Kansas City gas station attendant in 1994
354	2014-11-19	Prosecutor who declined to charge Bill Cosby in 2005: 'I didn't say that he didn't ...
355	2014-11-19	Second French militant seen in IS beheading video
356	2014-11-19	Six Dead, Nearly 200 Injured Amid Clashes at Indian Ashram
357	2014-11-19	Buffalo, New York, Set For More Snow; Thaw Expected By Weekend
358	2014-11-19	Russia urges Kiev to talk directly to separatists
359	2014-11-19	2nd Frenchman seen in ISIS beheading video, president says
360	2014-11-19	GOP vows replay after Keystone pipeline defeat
361	2014-11-19	Model, TV host Janice Dickinson latest to accuse Bill Cosby of sexual assault
362	2014-11-19	Islamic State: Second French jihadist seen in video
363	2014-11-19	Missouri Executes Leon Taylor for 1994 Murder
364	2014-11-19	5 Things to Know This Morning
365	2014-11-19	Why Republicans Think They Can't Lose a Showdown with Obama
366	2014-11-19	New York health officials test person's remains for Ebola
367	2014-11-19	Senate Blocks Vote on Curbing NSA's Bulk Data Collection Program
368	2014-11-19	Supermodel Janice Dickinson: 'Bill Cosby sexually assaulted me'
369	2014-11-19	Putin says relations with US must be based on equality
370	2014-11-19	Jerusalem Attack Shakes Israel
371	2014-11-19	France Identifies 2nd French Citizen in Islamic State Video
372	2014-11-19	Chris Hemsworth named 'Sexiest Man Alive'
373	2014-11-19	Missouri Executes Death Row Inmate Leon Taylor for 1994 Killing
374	2014-11-19	Erick Erickson's shutdown fantasy: Have GOP hurt people, then lie about it!
375	2014-11-19	Six Die Amid Standoff Between Indian Police and Guru
376	2014-11-19	Suicide car bomb kills five in Iraqi Kurdish capital
377	2014-11-19	At least 6 die as snow, cold pummels Northeast
378	2014-11-19	Israel Demolishes East Jerusalem Home of Palestinian Behind Car Attack
379	2014-11-19	Netflix postpones Cosby show amidst sexual assualt allegations
380	2014-11-19	Second Frenchman Is Identified in ISIS Video of Peter Kassig
381	2014-11-19	Chris Hemsworth named People's 'Sexiest Man Alive'
382	2014-11-19	Ferguson, Missouri, remains on edge ahead of grand jury report
383	2014-11-19	WhatsApp Moves To Protect Messages From Snoops
384	2014-11-19	War zone Hisar: 6 dead in violent clashes, Rampal's aide held; but where's the ...
385	2014-11-19	Netflix postpones Bill Cosby special as rape allegations escalate
386	2014-11-19	Senate Republicans block bill: NSA will continue monitoring your calls (+video)
387	2014-11-19	Israelis, Palestinians look to personal safety in holy city on edge
388	2014-11-19	Accomplice cleared as Missouri execution witness, doesn't come
389	2014-11-19	Body of Brooklyn Woman to be Tested for Ebola
390	2014-11-19	WhatsApp Moves To Protect Messages From Snoops
391	2014-11-19	Miss Honduras, sister, found shot to death
392	2014-11-19	Missouri governor denies clemency for Leon Taylor
393	2014-11-19	Tracy Morgan may not fully recover from traumatic brain injury sustained in car ...
394	2014-11-19	Woman's Death Not Related to Ebola, NYC Health Officials Say
395	2014-11-19	Snow Emergency: Five Dead, 100+ Trapped in Monster Winter Storm
396	2014-11-19	Republicans block overhaul of NSA surveillance reform
397	2014-11-19	Rabbi killed in Jerusalem had deep Boston connections
398	2014-11-19	Miss Honduras 2014 found dead and buried with sister, police say
399	2014-11-19	Presented by BlueCross BlueShield of Illinois
400	2014-11-19	Fact check: Obama's immigration amnesia
401	2014-11-19	Man expected in court over deadly subway shove
402	2014-11-19	Obama's Executive Order on Immigration Is Unlikely to Include Health Benefits
403	2014-11-19	Analysis: Can Bloodshed Be Stopped After Synagogue Attack?
404	2014-11-19	Islamic State execution video includes two French jihadis, France confirms
405	2014-11-19	Chris Hemsworth has hammerlock on People's 'Sexiest Man Alive' title
406	2014-11-19	Cecily Strong Will Perform at the White House
407	2014-11-19	Zookeeper seriously injured by rhino at Whipsnade Zoo
